"","gsea_w","gsea_o","likelihood_ratio_sum","likelihood_ratio_max","wald_sum2","wald_max","score_sum2","score_max"
"score_max",2.12673227461312e-21,3.31761940809669e-34,1.96076662558367e-33,1.02916671411311e-37,2.13986309239805e-34,1.81646533633953e-19,6.98054159805011e-08,0.51171082451728
"score_sum2",4.04855783235178e-16,2.78327138951661e-26,1.75035974780763e-12,8.64056812425166e-22,2.0446391445607e-17,8.31085411327158e-11,0.51171082451728,0.999999949477933
"wald_max",0.999999999999916,1.31475089918868e-15,0.000554450008590897,6.99098002158395e-17,4.23765150083954e-08,0.51171082451728,0.999999999943683,1
"wald_sum2",1,6.75569616847523e-09,1,0.9980124568217,0.51171082451728,0.99999996949584,1,1
"likelihood_ratio_max",0.999999999787206,1.14668891618568e-12,0.00798776118241676,0.51171082451728,0.00239157957347738,1,1,1
"likelihood_ratio_sum",0.999999999999995,1.2221778624169e-10,0.51171082451728,0.993212041455329,1.57724064859295e-34,0.99955021528307,0.999999999998853,1
"gsea_o",1,0.51171082451728,0.999999999916891,0.999999999999251,0.999999995226988,0.999999999999999,1,1
"gsea_w",0.51171082451728,6.52445248990206e-25,8.65226872710666e-15,3.10311513200695e-10,2.55397407261049e-17,1.31203193960357e-13,1,1
