"","gsea_w","gsea_o","likelihood_ratio_sum","likelihood_ratio_max","wald_sum2","wald_max","score_sum2","score_max"
"score_max","740/420(2.12673227461312e-21)","785/375(3.31761940809669e-34)","782/377(1.96076662558367e-33)","795/364(1.02916671411311e-37)","785/374(2.13986309239805e-34)","732/428(1.81646533633953e-19)","670/490(6.98054159805011e-08)","580/580(0.51171082451728)"
"score_sum2","717/443(4.04855783235178e-16)","758/401(2.78327138951661e-26)","698/461(1.75035974780763e-12)","741/418(8.64056812425166e-22)","723/437(2.0446391445607e-17)","689/471(8.31085411327158e-11)","580/580(0.51171082451728)","490/670(0.999999949477933)"
"wald_max","455/704(0.999999999999916)","714/445(1.31475089918868e-15)","636/524(0.000554450008590897)","720/439(6.99098002158395e-17)","671/488(4.23765150083954e-08)","580/580(0.51171082451728)","471/689(0.999999999943683)","428/732(1)"
"wald_sum2","437/722(1)","677/483(6.75569616847523e-09)","374/786(1)","531/628(0.9980124568217)","580/580(0.51171082451728)","488/671(0.99999996949584)","437/723(1)","374/785(1)"
"likelihood_ratio_max","474/685(0.999999999787206)","699/460(1.14668891618568e-12)","621/538(0.00798776118241676)","580/580(0.51171082451728)","628/531(0.00239157957347738)","439/720(1)","418/741(1)","364/795(1)"
"likelihood_ratio_sum","449/710(0.999999999999995)","688/472(1.2221778624169e-10)","580/580(0.51171082451728)","538/621(0.993212041455329)","786/374(1.57724064859295e-34)","524/636(0.99955021528307)","461/698(0.999999999998853)","377/782(1)"
"gsea_o","406/753(1)","580/580(0.51171082451728)","472/688(0.999999999916891)","460/699(0.999999999999251)","483/677(0.999999995226988)","445/714(0.999999999999999)","401/758(1)","375/785(1)"
"gsea_w","580/580(0.51171082451728)","753/406(6.52445248990206e-25)","710/449(8.65226872710666e-15)","685/474(3.10311513200695e-10)","722/437(2.55397407261049e-17)","704/455(1.31203193960357e-13)","443/717(1)","420/740(1)"
